ActualElapsedTime,AirTime,ArrDelay,ArrTime,CRSArrTime,CRSDepTime,CRSElapsedTime,CancellationCode,Cancelled,CarrierDelay,DayOfWeek,DayofMonth,DepDelay,DepTime,Dest,Distance,Diverted,FlightNum,LateAircraftDelay,Month,NASDelay,Origin,SecurityDelay,TailNum,TaxiIn,TaxiOut,UniqueCarrier,WeatherDelay,Year
NA,NA,NA,NA,730,605,85,B,1,0,7,10,NA,NA,SLC,391,0,4117,0,4,0,DEN,0,N705EV,0,0,EV,0,2005
NA,NA,NA,NA,841,745,56,B,1,0,5,16,NA,NA,ASE,125,0,7047,0,2,0,DEN,0,N434YV,0,0,YV,0,2007
53,32,-8,1642,1650,1545,65,NA,0,NA,4,10,4,1549,PIT,205,0,209,NA,10,NA,DCA,NA,N443US,7,14,US,NA,2002
164,155,-11,1754,1805,1610,175,NA,0,NA,4,2,0,1610,MCI,1072,0,109,NA,12,NA,MCO,NA,N755,2,7,WN,NA,1999
60,NA,15,2005,1950,1850,60,NA,0,NA,5,10,15,1905,CLT,227,0,1276,NA,12,NA,ATL,NA,NA,NA,NA,DL,NA,1993
51,NA,-5,1818,1823,1728,55,NA,0,NA,4,28,-1,1727,BNA,200,0,961,NA,9,NA,MEM,NA,NA,NA,NA,AA,NA,1989
49,37,2,1137,1135,1048,47,NA,0,NA,4,2,0,1048,CLT,156,0,353,NA,1,NA,MYR,NA,N934VJ,6,6,US,NA,1997
150,126,-19,2015,2034,1745,169,NA,0,NA,4,15,0,1745,ATL,903,0,1521,NA,10,NA,PVD,NA,N919DE,14,10,DL,NA,1998
115,103,-5,735,740,640,120,NA,0,NA,2,16,0,640,SEA,689,0,1678,NA,6,NA,SLC,NA,N346,2,10,WN,NA,1998
102,NA,-4,1603,1607,1320,107,NA,0,NA,2,3,1,1321,DFW,641,0,280,NA,12,NA,DEN,NA,NA,NA,NA,CO,NA,1991
87,NA,-8,1547,1555,1322,93,NA,0,NA,3,13,-2,1320,CLE,487,0,142,NA,11,NA,STL,NA,NA,NA,NA,TW,NA,1991
170,135,10,1051,1041,800,161,NA,0,NA,4,22,1,801,MCO,950,0,1123,NA,10,NA,LGA,NA,N558AA,3,32,AA,NA,1998
60,NA,-5,2040,2045,1940,65,NA,0,NA,6,27,0,1940,DFW,247,0,559,NA,10,NA,SAT,NA,NA,NA,NA,AA,NA,1990
79,70,-16,1444,1500,1220,100,NA,0,NA,7,19,5,1225,PIT,553,0,754,NA,11,NA,STL,NA,N970VJ,5,4,US,NA,1995
174,NA,43,1213,1130,1031,179,NA,0,NA,5,8,48,1119,DEN,1199,0,545,NA,10,NA,ATL,NA,NA,NA,NA,DL,NA,1993
133,117,40,1429,1349,1044,125,NA,0,NA,4,30,32,1116,BOS,867,0,1270,NA,1,NA,ORD,NA,N7280U,5,11,UA,NA,1997
79,65,13,1558,1545,1420,85,NA,0,NA,3,4,19,1439,SMF,480,0,950,NA,8,NA,SAN,NA,N358,3,11,WN,NA,1999
48,NA,-2,1128,1130,1040,50,NA,0,NA,6,7,0,1040,TUL,237,0,14,NA,4,NA,DAL,NA,NA,NA,NA,WN,NA,1990
63,NA,16,1611,1555,1455,60,NA,0,NA,4,17,13,1508,MDW,251,0,842,NA,5,NA,STL,NA,NA,NA,NA,WN,NA,1990
129,NA,9,2159,2150,1850,120,NA,0,NA,4,9,0,1850,MLI,751,0,722,NA,8,NA,DEN,NA,NA,NA,NA,UA,NA,1990
105,61,3,2017,2014,1835,99,NA,0,NA,5,7,-3,1832,PIT,335,0,1587,NA,1,NA,LGA,NA,N934VJ,7,37,US,NA,2000
67,52,-4,1514,1518,1410,68,NA,0,NA,7,23,-3,1407,PVD,328,0,2614,NA,8,NA,BWI,NA,N278AU,6,9,US,NA,1998
97,76,2,1359,1357,1215,102,NA,0,NA,6,23,7,1222,CLE,404,0,281,NA,12,NA,EWR,NA,N27610,4,17,CO,NA,2000
245,228,-14,2007,2021,1800,261,NA,0,NA,2,26,2,1802,DEN,1619,0,239,NA,12,NA,LGA,NA,N327UA,5,12,UA,NA,1995
123,86,10,1442,1432,1245,107,NA,0,NA,5,15,-6,1239,DTW,453,0,1781,NA,11,NA,PHL,NA,N775NC,18,19,NW,NA,2002
69,54,-12,1756,1808,1644,84,NA,0,NA,6,29,3,1647,MSP,334,0,765,NA,9,NA,ORD,NA,N986ä1,5,10,UA,NA,2001
59,44,-4,1230,1234,1125,69,NA,0,NA,1,24,6,1131,LIT,296,0,489,NA,3,NA,STL,NA,N52310,3,12,TW,NA,1997
110,104,-2,2333,2335,2135,120,NA,0,NA,5,28,8,2143,HOU,687,0,551,NA,12,NA,STL,NA,N81@@@,2,4,WN,NA,2001
NA,NA,NA,NA,1125,1005,80,NA,1,NA,6,30,NA,NA,ALB,318,0,360,NA,12,NA,DCA,NA,UNKNOW,0,0,US,NA,2000
51,35,-14,647,701,600,61,NA,0,NA,1,12,-4,556,IAH,201,0,2510,NA,5,NA,CRP,NA,N15910,8,8,XE,NA,2003
222,200,-4,1216,1220,830,230,NA,0,NA,4,26,4,834,SJU,1576,0,1268,NA,10,NA,PHL,NA,N782AU,8,14,US,NA,1995
157,144,1,941,940,700,160,NA,0,NA,1,8,4,704,TPA,920,0,223,NA,4,NA,PHL,NA,N223US,5,8,US,NA,1996
59,39,4,917,913,818,55,NA,0,NA,4,30,0,818,ANC,261,0,88,NA,7,NA,FAI,NA,N764AS,5,15,AS,NA,1998
88,75,-10,1250,1300,1125,95,NA,0,NA,7,10,-3,1122,MEM,559,0,1711,NA,9,NA,AUS,NA,N8925E,5,8,NW,NA,1995
66,NA,-5,2205,2210,2200,70,NA,0,NA,5,4,-1,2159,ORD,235,0,1710,NA,2,NA,DTW,NA,NA,NA,NA,NW,NA,1994
130,NA,-14,1801,1815,1651,144,NA,0,NA,4,30,0,1651,ORD,717,0,693,NA,8,NA,ORF,NA,NA,NA,NA,UA,NA,1990
280,NA,150,2320,2050,1330,260,NA,0,NA,4,15,130,1540,DTW,1979,0,26,NA,2,NA,LAX,NA,NA,NA,NA,NW,NA,1990
148,105,6,1320,1314,1155,139,NA,0,NA,5,31,-3,1152,STL,737,0,603,NA,3,NA,BWI,NA,N922TW,34,9,TW,NA,2000
75,62,0,2245,2245,2130,75,NA,0,NA,3,22,0,2130,OAK,446,0,398,NA,2,NA,SAN,NA,N513,4,9,WN,NA,1995
160,147,-20,1840,1900,1605,175,NA,0,NA,6,2,-5,1600,TPA,998,0,1218,NA,3,NA,EWR,NA,N17306,3,10,CO,NA,2002
108,NA,3,1358,1355,1210,105,NA,0,NA,1,6,0,1210,SEA,671,0,475,NA,7,NA,OAK,NA,NA,NA,NA,AS,NA,1992
